dataset_a,episode_a,frame_a,dataset_b,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,20,18,v2_clean,22,23,2.4843,-0.1758,4.6593,4.8352,-2.8571,-6.0220,3.1648,4.8352
v2_clean,20,19,v2_clean,22,23,2.4843,-0.1758,4.6593,4.8352,-3.0330,-6.0220,2.9890,4.8352
v2_clean,24,14,v3_start_coverage,14,0,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,1,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,2,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,3,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,4,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,5,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,6,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,7,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,8,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,9,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,10,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,11,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,12,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,13,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,14,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,15,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,16,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,17,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,18,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,19,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
