dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v3_start_coverage,4,elbow_flex,82,1.9137,1.8022,2.4879,3.9121,5.73,0.0000
v3_start_coverage,4,wrist_flex,82,0.0761,0.0440,0.2198,0.2198,4.01,0.0000
v3_start_coverage,4,wrist_roll,82,0.1748,0.1758,0.1758,0.1758,1.15,0.0000
v3_start_coverage,4,gripper,82,0.3666,0.3666,0.3666,0.3666,9.17,0.0000
v3_start_coverage,5,shoulder_pan,25,0.7982,0.8791,0.8791,0.8791,4.58,0.0000
v3_start_coverage,5,shoulder_lift,25,0.8440,0.7033,2.3209,3.0769,5.16,0.0000
v3_start_coverage,5,elbow_flex,25,2.2347,1.8901,3.8593,4.6154,5.73,0.0000
v3_start_coverage,5,wrist_flex,25,0.1319,0.1319,0.1319,0.1319,4.01,0.0000
v3_start_coverage,5,wrist_roll,25,0.1758,0.1758,0.1758,0.1758,1.15,0.0000
v3_start_coverage,5,gripper,25,0.3686,0.3686,0.3686,0.3686,9.17,0.0000
v3_start_coverage,6,shoulder_pan,23,0.9823,0.9670,1.0549,1.0549,4.58,0.0000
v3_start_coverage,6,shoulder_lift,23,0.4396,0.1758,1.6615,1.8462,5.16,0.0000
v3_start_coverage,6,elbow_flex,23,2.1997,1.9780,3.1736,3.3846,5.73,0.0000
v3_start_coverage,6,wrist_flex,23,1.0721,1.0989,1.0989,1.0989,4.01,0.0000
v3_start_coverage,6,wrist_roll,23,0.3516,0.3516,0.3516,0.3516,1.15,0.0000
v3_start_coverage,6,gripper,23,0.3540,0.3725,0.3725,0.3725,9.17,0.0000
v3_start_coverage,7,shoulder_pan,64,0.6882,0.7033,0.7912,0.7912,4.58,0.0000
v3_start_coverage,7,shoulder_lift,64,0.4959,0.3516,0.9143,2.6374,5.16,0.0000
v3_start_coverage,7,elbow_flex,64,1.8695,1.7143,2.4044,4.1758,5.73,0.0000
v3_start_coverage,7,wrist_flex,64,0.7473,0.7473,0.7473,0.7473,4.01,0.0000
v3_start_coverage,7,wrist_roll,64,0.1662,0.1758,0.2637,0.2637,1.15,0.0000
v3_start_coverage,7,gripper,64,0.3617,0.3705,0.3705,0.3705,9.17,0.0000
v3_start_coverage,8,shoulder_pan,27,0.6740,0.7033,0.7033,0.7033,4.58,0.0000
v3_start_coverage,8,shoulder_lift,27,0.7326,0.5275,2.6989,3.5165,5.16,0.0000
v3_start_coverage,8,elbow_flex,27,2.0627,1.9780,3.1121,3.6484,5.73,0.0000
v3_start_coverage,8,wrist_flex,27,0.9556,0.9231,1.0989,1.0989,4.01,0.0000
v3_start_coverage,8,wrist_roll,27,0.1368,0.1758,0.1758,0.1758,1.15,0.0000
v3_start_coverage,8,gripper,27,0.4228,0.4376,0.5086,0.5086,9.17,0.0000
v3_start_coverage,9,shoulder_pan,82,0.6872,0.7033,0.7033,0.7033,4.58,0.0000
v3_start_coverage,9,shoulder_lift,82,0.5875,0.5275,0.7912,2.6374,5.16,0.0000
v3_start_coverage,9,elbow_flex,82,1.8955,1.8022,2.4879,3.7363,5.73,0.0000
v3_start_coverage,9,wrist_flex,82,1.0110,1.0110,1.0110,1.0110,4.01,0.0000
v3_start_coverage,9,wrist_roll,82,0.3066,0.2637,0.3516,0.4396,1.15,0.0000
v3_start_coverage,9,gripper,82,0.3945,0.3945,0.3945,0.3945,9.17,0.0000
v3_start_coverage,10,shoulder_pan,39,0.7461,0.7033,0.8879,0.9670,4.58,0.0000
v3_start_coverage,10,shoulder_lift,39,0.8340,0.6154,2.2857,3.9560,5.16,0.0000
v3_start_coverage,10,elbow_flex,39,2.4131,2.2418,3.8418,4.2637,5.73,0.0000
v3_start_coverage,10,wrist_flex,39,0.1702,0.1319,0.4835,0.4835,4.01,0.0000
v3_start_coverage,10,wrist_roll,39,0.1848,0.1758,0.2637,0.2637,1.15,0.0000
v3_start_coverage,10,gripper,39,0.3860,0.3686,0.5105,0.5105,9.17,0.0000
v3_start_coverage,11,shoulder_pan,27,0.9670,0.9670,0.9670,0.9670,4.58,0.0000
v3_start_coverage,11,shoulder_lift,27,0.7066,0.6154,1.2484,2.1099,5.16,0.0000
v3_start_coverage,11,elbow_flex,27,2.2743,1.8901,3.9033,4.7912,5.73,0.0000
v3_start_coverage,11,wrist_flex,27,1.0989,1.0989,1.0989,1.0989,4.01,0.0000
v3_start_coverage,11,wrist_roll,27,0.3093,0.3516,0.3516,0.3516,1.15,0.0000
v3_start_coverage,11,gripper,27,0.2956,0.2956,0.2956,0.2956,9.17,0.0000
v3_start_coverage,12,shoulder_pan,58,0.6154,0.6154,0.6154,0.6154,4.58,0.0000
v3_start_coverage,12,shoulder_lift,58,0.4123,0.3516,0.7912,0.9670,5.16,0.0000
v3_start_coverage,12,elbow_flex,58,2.1069,1.9780,2.7473,4.0000,5.73,0.0000
v3_start_coverage,12,wrist_flex,58,0.2198,0.2198,0.2198,0.2198,4.01,0.0000
v3_start_coverage,12,wrist_roll,58,0.1349,0.1758,0.1758,0.1758,1.15,0.0000
v3_start_coverage,12,gripper,58,0.3928,0.3940,0.3940,0.3940,9.17,0.0000
v3_start_coverage,13,shoulder_pan,28,1.0989,1.1429,1.1429,1.1429,4.58,0.0000
v3_start_coverage,13,shoulder_lift,28,0.5589,0.3516,1.4505,2.7253,5.16,0.0000
v3_start_coverage,13,elbow_flex,28,2.3203,2.0659,3.3187,4.0879,5.73,0.0000
