dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v3_clean,4,wrist_flex,82,0.07612,0.04396,0.21978,0.21978,4.01000,0.00000
v3_clean,4,wrist_roll,82,0.17475,0.17582,0.17582,0.17582,1.15000,0.00000
v3_clean,4,gripper,82,0.36662,0.36662,0.36662,0.36662,9.17000,0.00000
v3_clean,5,shoulder_pan,25,0.79824,0.87912,0.87912,0.87912,4.58000,0.00000
v3_clean,5,shoulder_lift,25,0.84396,0.70330,2.32088,3.07693,5.16000,0.00000
v3_clean,5,elbow_flex,25,2.23472,1.89011,3.85934,4.61539,5.73000,0.00000
v3_clean,5,wrist_flex,25,0.13187,0.13187,0.13187,0.13187,4.01000,0.00000
v3_clean,5,wrist_roll,25,0.17582,0.17582,0.17582,0.17582,1.15000,0.00000
v3_clean,5,gripper,25,0.36858,0.36858,0.36858,0.36858,9.17000,0.00000
v3_clean,6,shoulder_pan,23,0.98232,0.96703,1.05494,1.05494,4.58000,0.00000
v3_clean,6,shoulder_lift,23,0.43956,0.17583,1.66154,1.84615,5.16000,0.00000
v3_clean,6,elbow_flex,23,2.19971,1.97802,3.17363,3.38461,5.73000,0.00000
v3_clean,6,wrist_flex,23,1.07214,1.09890,1.09890,1.09890,4.01000,0.00000
v3_clean,6,wrist_roll,23,0.35165,0.35165,0.35165,0.35165,1.15000,0.00000
v3_clean,6,gripper,23,0.35398,0.37249,0.37249,0.37249,9.17000,0.00000
v3_clean,7,shoulder_pan,64,0.68819,0.70330,0.79121,0.79121,4.58000,0.00000
v3_clean,7,shoulder_lift,64,0.49588,0.35165,0.91429,2.63736,5.16000,0.00000
v3_clean,7,elbow_flex,64,1.86951,1.71429,2.40440,4.17583,5.73000,0.00000
v3_clean,7,wrist_flex,64,0.74725,0.74725,0.74725,0.74725,4.01000,0.00000
v3_clean,7,wrist_roll,64,0.16621,0.17582,0.26374,0.26374,1.15000,0.00000
v3_clean,7,gripper,64,0.36166,0.37054,0.37054,0.37054,9.17000,0.00000
v3_clean,8,shoulder_pan,27,0.67399,0.70330,0.70330,0.70330,4.58000,0.00000
v3_clean,8,shoulder_lift,27,0.73260,0.52747,2.69890,3.51648,5.16000,0.00000
v3_clean,8,elbow_flex,27,2.06268,1.97802,3.11209,3.64835,5.73000,0.00000
v3_clean,8,wrist_flex,27,0.95564,0.92308,1.09890,1.09890,4.01000,0.00000
