dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v3_clean,10,38,14,40,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,41,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,42,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,43,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,44,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,45,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,46,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,47,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,48,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,49,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,50,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,51,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,52,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,53,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,54,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,55,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,56,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,57,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v3_clean,10,38,14,58,1.27658,3.95605,-0.61539,4.57143,-4.26374,-2.41758,1.84616,4.57143
v4_train39,0,0,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
v4_train39,0,1,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
v4_train39,0,2,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
v4_train39,0,3,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
v4_train39,0,4,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
v4_train39,0,5,28,32,1.28605,-0.52747,4.04395,4.57143,-2.41758,-4.43956,2.02198,4.57143
